INFO 2025-11-15 10:30:18,395 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,417 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,447 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,458 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,484 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,510 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,526 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,549 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,566 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,595 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,605 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,620 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,643 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,662 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,680 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,695 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,705 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,722 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,735 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,750 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,763 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,777 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,796 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,812 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,831 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,846 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,864 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,878 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,895 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,905 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,919 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,950 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,965 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,979 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:18,995 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:19,016 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:19,034 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:19,059 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:19,077 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:19,099 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:19,121 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:19,149 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:19,182 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:19,541 ml_model Model trained successfully on cookmatef database!
INFO 2025-11-15 10:30:19,542 ml_model Training Accuracy: 1.00
INFO 2025-11-15 10:30:19,542 ml_model Testing Accuracy: 0.00
INFO 2025-11-15 10:30:19,543 ml_model Recipes trained on: 50
INFO 2025-11-15 10:30:19,543 ml_model Features used: 44
INFO 2025-11-15 10:30:19,546 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:30:19,629 views Generated 8 recommendations for ingredients: ['Tomatoes', 'Onions', 'Cashews']
INFO 2025-11-15 10:30:19,633 basehttp "POST /ml/recommend/ HTTP/1.1" 200 7710
INFO 2025-11-15 10:30:20,730 autoreload D:\COOKMate Recipe Platform\backend\api\ml_model.py changed, reloading.
INFO 2025-11-15 10:30:22,666 autoreload Watching for file changes with StatReloader
INFO 2025-11-15 10:31:00,081 views Model not trained, training now...
INFO 2025-11-15 10:31:00,088 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,091 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,110 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,127 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,139 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,154 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,165 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,177 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,190 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,220 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,241 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,260 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,285 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,307 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,326 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,352 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,369 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,392 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,410 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,427 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,440 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,460 ml_model Fetched 50 recipes from cookmatef database
INFO 2025-11-15 10:31:00,478 ml_model Fetched 50 recipes from cookmatef database
